"","er"
"result.1",10
"result.2",7.5
"result.3",7.5
"result.4",2.5
"result.5",7.5
"result.6",5
"result.7",12.5
"result.8",10
"result.9",10
"result.10",2.5
"result.11",5
"result.12",10
"result.13",12.5
"result.14",7.5
"result.15",7.5
"result.16",12.5
"result.17",10
"result.18",7.5
"result.19",12.5
"result.20",0
"result.21",5
"result.22",7.5
"result.23",10
"result.24",15
"result.25",2.5
"result.26",10
"result.27",5
"result.28",12.5
"result.29",2.5
"result.30",10
"result.31",15
"result.32",10
"result.33",10
"result.34",5
"result.35",10
"result.36",15
"result.37",2.5
"result.38",12.5
"result.39",5
"result.40",5
"result.41",5
"result.42",5
"result.43",0
"result.44",12.5
"result.45",5
"result.46",15
"result.47",7.5
"result.48",5
"result.49",7.5
"result.50",7.5
"result.51",2.5
"result.52",10
"result.53",17.5
"result.54",7.5
"result.55",7.5
"result.56",10
"result.57",10
"result.58",5
"result.59",10
"result.60",12.5
"result.61",5
"result.62",20
"result.63",12.5
"result.64",7.5
"result.65",0
"result.66",10
"result.67",5
"result.68",20
"result.69",15
"result.70",15
"result.71",10
"result.72",7.5
"result.73",5
"result.74",12.5
"result.75",15
"result.76",5
"result.77",10
"result.78",10
"result.79",5
"result.80",7.5
"result.81",7.5
"result.82",7.5
"result.83",12.5
"result.84",7.5
"result.85",12.5
"result.86",15
"result.87",5
"result.88",7.5
"result.89",20
"result.90",5
"result.91",10
"result.92",2.5
"result.93",12.5
"result.94",5
"result.95",5
"result.96",5
"result.97",5
"result.98",2.5
"result.99",2.5
"result.100",5
